vehicle_id,v_out_of_service,v_maintenance,device_id,transmitting_dur,not_transmitting_dur,transmission_level,report_start_at,updated_at
45,0,0,3573,0,86400,2,2023-03-27 22:00:00,2023-03-28 22:18:19.484611
46,0,0,3572,0,86400,2,2023-03-27 22:00:00,2023-03-28 22:18:19.484611
47,0,0,3098,0,86400,2,2023-03-27 22:00:00,2023-03-28 22:18:19.484611
12,0,0,2457,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
18,0,0,2707,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
20,0,0,2715,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
28,0,0,2616,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
30,0,0,2645,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
31,0,0,2716,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
32,0,0,2702,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
34,0,0,2705,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
36,0,0,2464,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
43,0,0,2611,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
45,0,0,2634,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
50,0,0,2632,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
55,0,0,2466,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
56,0,0,2689,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
58,0,0,2454,0,86400,2,2023-03-27 11:00:00,2023-03-28 11:27:03.759839
